Key,Component,View,Context
Confirm delete multiple items,Confirmation modal message,Library and Page views (bulk entity-selection panel),Passed as `message` in `mainContext.confirm({...})` from `Metadata/components/SelectMultiplePanel.jsx`; rendered via `<Translate translationKey={messageKey}>{message}</Translate>` in `Confirm.jsx` when deleting multiple selected entities.
Confirm deletion of entity,Confirmation modal title,Entity view (relationships panel),"Literal `title: 'Confirm deletion of entity'` object property in `Relationships/components/RelationshipMetadata.jsx`, passed through `mainContext.confirm()` and rendered via `<Translate>{title}</Translate>` in `Confirm.jsx` — a literal string reaching Translate as a variable, so the scanner misses it."
Confirm deletion of file,Confirmation modal title,Entity view (attachments/files panel),"Literal `title: 'Confirm deletion of file'` in `Attachments/components/File.tsx`, passed via `mainContext.confirm()` and rendered as `<Translate>{title}</Translate>` in `Confirm.jsx`; confirmed user-visible by `cypress/e2e/base/attachments.cy.ts` asserting `cy.contains('Confirm deletion of file')`."
Confirm new password,Input field label,Settings > Account,Label for the input where the user retypes the new password to confirm it.
Confirm your password,Modal heading,AI Assistant (Bert) panel,Heading on the password-confirmation screen shown before granting access to the Bert AI Assistant.
Connect to a paragraph,Tooltip,Entity view,Tooltip on the button in the text-selection menu that starts a targeted-paragraph connection from selected text.
Connect to an entity,Tooltip,Entity view,Tooltip on the button in the text-selection menu that starts a connection to another entity from selected text.
Connect to entity,Button label,Entity view,Button that skips picking a specific document and connects the relationship to the entity as a whole.
Connected entities,Table caption (screen-reader only),Entity view,Hidden caption on the table listing entities connected through a relationship property.
Connected to server,Toast notification,Global navigation,Success notification shown app-wide when the websocket connection recovers after an outage.
Connection type,Metadata row label,Document Viewer (connections/references list),"`label: 'Connection type'` object value in `Viewer/components/Connection.jsx`'s `additionalMetadata` prop, flows through `FormatMetadata.jsx` into `Metadata/components/Metadata.jsx`, rendered via dynamic call `t(prop.translateContext || 'System', prop.label)`."
Contact email description,Tooltip,Settings > Collection,Tooltip on the contact email field explaining its use for notifications sent to users.
Contact form email,Input field label,Settings > Collection,Label with tooltip for the field entering the address that receives public contact form submissions.
Contains,Facet value prefix,Library,"Prefix shown before the entered value in a text/markdown property filter, e.g. ""Contains: value""."
Content translations,Table section heading,Settings > Translations,Heading above the table listing content (entity/template) translation contexts on the Translations settings page.
Context,Table column header,Settings > Metadata extraction,Header of the column in the suggestions table showing the surrounding text segment that supports a suggested value.
Continue,Button label,Shared (used across 4 views),Accept button on the confirmation modals shown in the template editor when saving affects a large number of entities or conflicts with concurrent template changes.
Conversion failed,Status message,Shared (used across 2 views),"Message shown on a document file card when its conversion/processing failed, in the legacy attachments list (Library and Entity view)."
Cookie preferences,Footer link,Global navigation,Link in the site footer that reopens the cookie-consent preferences dialog.
Copied,Button label (temporary state),Settings > Dataviz > Preview panel,Label shown briefly on the copy button in the JSON copy panel right after the value is copied to clipboard.
Copied to clipboard,Confirmation tooltip/toast,Shared (used across 5 views),"Confirmation shown after using a copy-to-clipboard button, used both for attachment links and the reusable Copy Value input (two-factor setup, page embed code, Preserve settings, Dataviz embed panel)."
Copy,Button label,Settings > Dataviz > Preview panel,Default label on the button that copies the rendered ECharts JSON configuration to clipboard.
